name,desc,category,tags,tissue,assay,disease,organism,count,insight_link,cellxgene_link,vitessce_link,h5ad_object_link,scvi_model_link,celltypist_model_link,csv_cell_annotations_link,hires_image_link,source_link
Human fetal liver 10x data,,scRNA-seq,scRNA-seq,Fetal Liver,10x 3' v2,None,Homo sapiens,113063,https://insights.cellatlas.io/fetal-liver/dataset/1/scatterplot,https://developmentcellatlas.cellgeni.sanger.ac.uk/,,https://insights.cellatlas.io/fetal-liver/dataset/1/download,,,,,
Human fetal yolk-sac 10x data,,scRNA-seq,scRNA-seq,Yolk Sac,10x 3' v2,None,Homo sapiens,113063,https://insights.cellatlas.io/fetal-liver/dataset/2/matrixplot,,,https://insights.cellatlas.io/fetal-liver/dataset/2/download,,,,,
Human fetal liver Smart-seq2 data,,Smart-seq2,Smart-seq2,Fetal Liver,Smart-seq2,None,Homo sapiens,113063,,,,,,,,,https://storage.googleapis.com/haniffalab/fetal_liver/fetal_liver_SS2.RDS
