name,desc,category,tags,tissue,assay,disease,organism,count,insight_link,cellxgene_link,vitessce_link,h5ad_object_link,scvi_model_link,celltypist_model_link,csv_cell_annotations_link,hires_image_link,source_link
Human thymus data,"A scRNA-seq dataset containing human prenatal thymic scRNA-seq data (10x; 7-17PCW; n=15 ,  k=138,397). Human prenatal thymic 10x scRNA-seq data -  E-MTAB-8581",scRNA-seq,scRNA-seq,Thymus ,"10x 3' v2, 10x 5' v2",,Homo sapiens,"138,397",https://app.cellatlas.io/thymus/dataset/2/scatterplot,,,https://app.cellatlas.io/thymus/dataset/2/download,,,,,
Human HSC data,A scRNA-seq dataset containing human prenatal thymic and Liver scRNA-seq data subset to hematopoietic lineages (HSCs) and products (10x). Human pre-natal thymic and liver HSC lineage 10x scRNA-seq data -  E-MTAB-8581,scRNA-seq,scRNA-seq,"Liver, Thymus ","10x 3' v2, 10x 5' v2",,Homo sapiens,,https://app.cellatlas.io/thymus/dataset/3/scatterplot,,,https://app.cellatlas.io/thymus/dataset/3/download,,,,,
Human T cell trajectory data,A scRNA-seq dataset containing human prenatal thymic scRNA-seq data subset to T-cell lineages (HSCs) and products (10x). Human pre-natal thymic T-cell lineage 10x scRNA-seq data -  E-MTAB-8581,scRNA-seq,scRNA-seq,Thymus ,"10x 3' v2, 10x 5' v2",,Homo sapiens,,https://app.cellatlas.io/thymus/dataset/4/scatterplot,,,https://app.cellatlas.io/thymus/dataset/4/download,,,,,
Human thymic epithelial cell analysis,A scRNA-seq dataset containing human pre and post-natal thymic scRNA-seq data subset to the epithelial lineages (10x). Human pre and post-natal thymic epithelial 10x scRNA-seq data -  E-MTAB-8581,scRNA-seq,scRNA-seq,Thymus ,"10x 3' v2, 10x 5' v2",,Homo sapiens,,https://app.cellatlas.io/thymus/dataset/1/scatterplot,,,https://app.cellatlas.io/thymus/dataset/1/download,,,,,
Mouse stromal data,A scRNA-seq dataset containing mouse pre-natal thymic scRNA-seq data subset to the stromal lineages (10x). Mouse pre-natal thymic stromal lineages 10x scRNA-seq data -  E-MTAB-8581,scRNA-seq,scRNA-seq,Thymus ,"10x 3' v2, 10x 5' v2",,Mus musculus,,https://app.cellatlas.io/thymus/dataset/5/scatterplot,,,https://app.cellatlas.io/thymus/dataset/5/download,,,,,
Mouse prenatal + postnatal data,A scRNA-seq dataset containing Mouse pre and post-natal thymic scRNA-seq data (10x). Mouse pre and post-natal thymic 10x scRNA-seq data -  E-MTAB-8581,scRNA-seq,scRNA-seq,Thymus ,"10x 3' v2, 10x 5' v2",,Mus musculus,,https://app.cellatlas.io/thymus/dataset/6/scatterplot,,,https://app.cellatlas.io/thymus/dataset/6/download,,,,,
